x,x_err,y,y_err
-1.627,0.050,0.102,0.100
-1.411,0.050,0.225,0.100
-1.309,0.050,0.085,0.100
-1.111,0.050,0.281,0.100
-0.906,0.050,0.516,0.100
-0.749,0.050,1.117,0.100
-0.572,0.050,2.043,0.100
-0.385,0.050,2.852,0.100
-0.120,0.050,3.578,0.100
-0.186,0.050,4.001,0.100
0.034,0.050,3.995,0.100
0.244,0.050,3.553,0.100
0.424,0.050,2.809,0.100
0.531,0.050,1.911,0.100
0.778,0.050,1.310,0.100
1.009,0.050,0.583,0.100
1.093,0.050,0.245,0.100
1.253,0.050,0.124,0.100
1.389,0.050,0.014,0.100
1.542,0.050,-0.174,0.100
